probando con i=10
Construcción M-Tree (CCP): 9998000 ns
1 (accesos, tiempo): (2, 0 ns)
11 (accesos, tiempo): (11, 0 ns)
12 (accesos, tiempo): (10, 1.004e+006 ns)
13 (accesos, tiempo): (12, 1.001e+006 ns)
14 (accesos, tiempo): (11, 0 ns)
15 (accesos, tiempo): (10, 0 ns)
16 (accesos, tiempo): (6, 0 ns)
17 (accesos, tiempo): (11, 0 ns)
18 (accesos, tiempo): (9, 996000 ns)
19 (accesos, tiempo): (11, 0 ns)
20 (accesos, tiempo): (8, 0 ns)
21 (accesos, tiempo): (12, 0 ns)
22 (accesos, tiempo): (9, 0 ns)
23 (accesos, tiempo): (11, 0 ns)
24 (accesos, tiempo): (10, 0 ns)
25 (accesos, tiempo): (13, 0 ns)
26 (accesos, tiempo): (8, 0 ns)
27 (accesos, tiempo): (12, 0 ns)
28 (accesos, tiempo): (8, 0 ns)
29 (accesos, tiempo): (11, 0 ns)
30 (accesos, tiempo): (10, 998000 ns)
31 (accesos, tiempo): (11, 0 ns)
32 (accesos, tiempo): (9, 0 ns)
33 (accesos, tiempo): (9, 0 ns)
34 (accesos, tiempo): (10, 0 ns)
35 (accesos, tiempo): (11, 0 ns)
36 (accesos, tiempo): (9, 0 ns)
37 (accesos, tiempo): (10, 0 ns)
38 (accesos, tiempo): (11, 0 ns)
39 (accesos, tiempo): (9, 0 ns)
40 (accesos, tiempo): (10, 0 ns)
41 (accesos, tiempo): (11, 0 ns)
42 (accesos, tiempo): (9, 1e+006 ns)
43 (accesos, tiempo): (12, 0 ns)
44 (accesos, tiempo): (10, 0 ns)
45 (accesos, tiempo): (8, 0 ns)
46 (accesos, tiempo): (12, 0 ns)
47 (accesos, tiempo): (10, 0 ns)
48 (accesos, tiempo): (15, 1.017e+006 ns)
49 (accesos, tiempo): (13, 0 ns)
50 (accesos, tiempo): (8, 986000 ns)
51 (accesos, tiempo): (12, 0 ns)
52 (accesos, tiempo): (10, 0 ns)
53 (accesos, tiempo): (15, 0 ns)
54 (accesos, tiempo): (7, 0 ns)
55 (accesos, tiempo): (10, 0 ns)
56 (accesos, tiempo): (13, 1.003e+006 ns)
57 (accesos, tiempo): (9, 0 ns)
58 (accesos, tiempo): (8, 0 ns)
59 (accesos, tiempo): (13, 0 ns)
60 (accesos, tiempo): (8, 0 ns)
61 (accesos, tiempo): (8, 0 ns)
62 (accesos, tiempo): (11, 0 ns)
63 (accesos, tiempo): (14, 0 ns)
64 (accesos, tiempo): (12, 0 ns)
65 (accesos, tiempo): (11, 994000 ns)
66 (accesos, tiempo): (12, 0 ns)
67 (accesos, tiempo): (12, 0 ns)
68 (accesos, tiempo): (8, 0 ns)
69 (accesos, tiempo): (5, 0 ns)
70 (accesos, tiempo): (8, 0 ns)
71 (accesos, tiempo): (8, 0 ns)
72 (accesos, tiempo): (8, 0 ns)
73 (accesos, tiempo): (9, 0 ns)
74 (accesos, tiempo): (9, 0 ns)
75 (accesos, tiempo): (10, 0 ns)
76 (accesos, tiempo): (7, 0 ns)
77 (accesos, tiempo): (9, 1e+006 ns)
78 (accesos, tiempo): (9, 0 ns)
79 (accesos, tiempo): (7, 0 ns)
80 (accesos, tiempo): (10, 0 ns)
81 (accesos, tiempo): (8, 0 ns)
82 (accesos, tiempo): (7, 0 ns)
83 (accesos, tiempo): (10, 0 ns)
84 (accesos, tiempo): (9, 0 ns)
85 (accesos, tiempo): (9, 0 ns)
86 (accesos, tiempo): (8, 0 ns)
87 (accesos, tiempo): (8, 0 ns)
88 (accesos, tiempo): (10, 0 ns)
89 (accesos, tiempo): (9, 1.001e+006 ns)
90 (accesos, tiempo): (8, 0 ns)
91 (accesos, tiempo): (6, 0 ns)
92 (accesos, tiempo): (7, 0 ns)
93 (accesos, tiempo): (5, 0 ns)
94 (accesos, tiempo): (8, 0 ns)
95 (accesos, tiempo): (8, 0 ns)
96 (accesos, tiempo): (4, 0 ns)
97 (accesos, tiempo): (7, 0 ns)
98 (accesos, tiempo): (8, 0 ns)
99 (accesos, tiempo): (4, 0 ns)
100 (accesos, tiempo): (6, 0 ns)
La media de accesos es 9.42
la desviacion estandar es 2.1456
y la varianza es4.6036
probando con i=17
Construcción M-Tree (CCP): 2516596000 ns
1 (accesos, tiempo): (11, 0 ns)
2 (accesos, tiempo): (11, 0 ns)
3 (accesos, tiempo): (11, 0 ns)
4 (accesos, tiempo): (10, 0 ns)
5 (accesos, tiempo): (12, 0 ns)
6 (accesos, tiempo): (8, 0 ns)
7 (accesos, tiempo): (13, 0 ns)
8 (accesos, tiempo): (9, 0 ns)
9 (accesos, tiempo): (13, 0 ns)
10 (accesos, tiempo): (11, 1.001e+006 ns)
11 (accesos, tiempo): (16, 0 ns)
12 (accesos, tiempo): (15, 0 ns)
13 (accesos, tiempo): (15, 0 ns)
14 (accesos, tiempo): (12, 0 ns)
15 (accesos, tiempo): (7, 0 ns)
16 (accesos, tiempo): (15, 0 ns)
17 (accesos, tiempo): (8, 0 ns)
18 (accesos, tiempo): (14, 1e+006 ns)
19 (accesos, tiempo): (9, 0 ns)
20 (accesos, tiempo): (9, 0 ns)
21 (accesos, tiempo): (14, 0 ns)
22 (accesos, tiempo): (14, 0 ns)
23 (accesos, tiempo): (17, 0 ns)
24 (accesos, tiempo): (12, 0 ns)
25 (accesos, tiempo): (10, 0 ns)
26 (accesos, tiempo): (8, 0 ns)
27 (accesos, tiempo): (15, 1e+006 ns)
28 (accesos, tiempo): (15, 1e+006 ns)
29 (accesos, tiempo): (12, 0 ns)
30 (accesos, tiempo): (13, 0 ns)
31 (accesos, tiempo): (15, 0 ns)
32 (accesos, tiempo): (14, 0 ns)
33 (accesos, tiempo): (14, 1e+006 ns)
34 (accesos, tiempo): (13, 0 ns)
35 (accesos, tiempo): (12, 0 ns)
36 (accesos, tiempo): (16, 0 ns)
37 (accesos, tiempo): (12, 0 ns)
38 (accesos, tiempo): (14, 0 ns)
39 (accesos, tiempo): (12, 0 ns)
40 (accesos, tiempo): (14, 0 ns)
41 (accesos, tiempo): (11, 997000 ns)
42 (accesos, tiempo): (15, 0 ns)
43 (accesos, tiempo): (13, 0 ns)
44 (accesos, tiempo): (15, 0 ns)
45 (accesos, tiempo): (13, 0 ns)
46 (accesos, tiempo): (14, 0 ns)
47 (accesos, tiempo): (12, 0 ns)
48 (accesos, tiempo): (12, 998000 ns)
49 (accesos, tiempo): (16, 0 ns)
50 (accesos, tiempo): (10, 0 ns)
51 (accesos, tiempo): (15, 0 ns)
52 (accesos, tiempo): (16, 0 ns)
53 (accesos, tiempo): (15, 0 ns)
54 (accesos, tiempo): (9, 0 ns)
55 (accesos, tiempo): (14, 0 ns)
56 (accesos, tiempo): (12, 999000 ns)
57 (accesos, tiempo): (11, 0 ns)
58 (accesos, tiempo): (12, 0 ns)
59 (accesos, tiempo): (12, 0 ns)
60 (accesos, tiempo): (14, 0 ns)
61 (accesos, tiempo): (13, 0 ns)
62 (accesos, tiempo): (13, 0 ns)
63 (accesos, tiempo): (13, 0 ns)
64 (accesos, tiempo): (12, 999000 ns)
65 (accesos, tiempo): (12, 0 ns)
66 (accesos, tiempo): (13, 0 ns)
67 (accesos, tiempo): (9, 0 ns)
68 (accesos, tiempo): (12, 0 ns)
69 (accesos, tiempo): (7, 0 ns)
70 (accesos, tiempo): (10, 0 ns)
71 (accesos, tiempo): (10, 0 ns)
72 (accesos, tiempo): (10, 1.002e+006 ns)
73 (accesos, tiempo): (9, 0 ns)
74 (accesos, tiempo): (11, 0 ns)
75 (accesos, tiempo): (14, 0 ns)
76 (accesos, tiempo): (14, 0 ns)
77 (accesos, tiempo): (11, 0 ns)
78 (accesos, tiempo): (9, 0 ns)
79 (accesos, tiempo): (14, 0 ns)
80 (accesos, tiempo): (9, 0 ns)
81 (accesos, tiempo): (13, 0 ns)
82 (accesos, tiempo): (10, 1e+006 ns)
83 (accesos, tiempo): (13, 0 ns)
84 (accesos, tiempo): (9, 0 ns)
85 (accesos, tiempo): (9, 0 ns)
86 (accesos, tiempo): (9, 0 ns)
87 (accesos, tiempo): (11, 0 ns)
88 (accesos, tiempo): (9, 0 ns)
89 (accesos, tiempo): (8, 0 ns)
90 (accesos, tiempo): (10, 0 ns)
91 (accesos, tiempo): (10, 0 ns)
92 (accesos, tiempo): (10, 0 ns)
93 (accesos, tiempo): (5, 0 ns)
94 (accesos, tiempo): (8, 0 ns)
95 (accesos, tiempo): (13, 1e+006 ns)
96 (accesos, tiempo): (9, 0 ns)
97 (accesos, tiempo): (8, 0 ns)
98 (accesos, tiempo): (10, 0 ns)
99 (accesos, tiempo): (7, 0 ns)
100 (accesos, tiempo): (7, 0 ns)
La media de accesos es 11.69
la desviacion estandar es 2.54831
y la varianza es6.4939
probando con i=18
Construcción M-Tree (CCP): 5430592000 ns
1 (accesos, tiempo): (11, 0 ns)
2 (accesos, tiempo): (9, 0 ns)
3 (accesos, tiempo): (9, 0 ns)
4 (accesos, tiempo): (14, 1.006e+006 ns)
5 (accesos, tiempo): (12, 0 ns)
6 (accesos, tiempo): (12, 0 ns)
7 (accesos, tiempo): (12, 0 ns)
8 (accesos, tiempo): (16, 0 ns)
9 (accesos, tiempo): (12, 0 ns)
10 (accesos, tiempo): (11, 0 ns)
11 (accesos, tiempo): (12, 0 ns)
12 (accesos, tiempo): (13, 995000 ns)
13 (accesos, tiempo): (13, 0 ns)
14 (accesos, tiempo): (12, 0 ns)
15 (accesos, tiempo): (12, 0 ns)
16 (accesos, tiempo): (13, 0 ns)
17 (accesos, tiempo): (12, 0 ns)
18 (accesos, tiempo): (13, 0 ns)
19 (accesos, tiempo): (13, 1e+006 ns)
20 (accesos, tiempo): (15, 0 ns)
21 (accesos, tiempo): (16, 0 ns)
22 (accesos, tiempo): (14, 0 ns)
23 (accesos, tiempo): (12, 0 ns)
24 (accesos, tiempo): (12, 0 ns)
25 (accesos, tiempo): (14, 0 ns)
26 (accesos, tiempo): (13, 0 ns)
27 (accesos, tiempo): (12, 1.002e+006 ns)
28 (accesos, tiempo): (17, 0 ns)
29 (accesos, tiempo): (13, 0 ns)
30 (accesos, tiempo): (15, 0 ns)
31 (accesos, tiempo): (12, 0 ns)
32 (accesos, tiempo): (14, 0 ns)
33 (accesos, tiempo): (14, 0 ns)
34 (accesos, tiempo): (15, 0 ns)
35 (accesos, tiempo): (17, 996000 ns)
36 (accesos, tiempo): (10, 0 ns)
37 (accesos, tiempo): (12, 0 ns)
38 (accesos, tiempo): (11, 0 ns)
39 (accesos, tiempo): (10, 0 ns)
40 (accesos, tiempo): (13, 0 ns)
41 (accesos, tiempo): (16, 0 ns)
42 (accesos, tiempo): (13, 0 ns)
43 (accesos, tiempo): (16, 999000 ns)
44 (accesos, tiempo): (10, 0 ns)
45 (accesos, tiempo): (14, 0 ns)
46 (accesos, tiempo): (9, 0 ns)
47 (accesos, tiempo): (11, 0 ns)
48 (accesos, tiempo): (12, 0 ns)
49 (accesos, tiempo): (13, 0 ns)
50 (accesos, tiempo): (13, 1.003e+006 ns)
51 (accesos, tiempo): (12, 0 ns)
52 (accesos, tiempo): (13, 0 ns)
53 (accesos, tiempo): (17, 0 ns)
54 (accesos, tiempo): (13, 0 ns)
55 (accesos, tiempo): (15, 0 ns)
56 (accesos, tiempo): (15, 0 ns)
57 (accesos, tiempo): (14, 1e+006 ns)
58 (accesos, tiempo): (14, 0 ns)
59 (accesos, tiempo): (15, 0 ns)
60 (accesos, tiempo): (14, 0 ns)
61 (accesos, tiempo): (13, 0 ns)
62 (accesos, tiempo): (12, 0 ns)
63 (accesos, tiempo): (14, 0 ns)
64 (accesos, tiempo): (13, 0 ns)
65 (accesos, tiempo): (12, 997000 ns)
66 (accesos, tiempo): (10, 0 ns)
67 (accesos, tiempo): (12, 0 ns)
68 (accesos, tiempo): (16, 0 ns)
69 (accesos, tiempo): (9, 0 ns)
70 (accesos, tiempo): (14, 0 ns)
71 (accesos, tiempo): (11, 0 ns)
72 (accesos, tiempo): (11, 0 ns)
73 (accesos, tiempo): (16, 0 ns)
74 (accesos, tiempo): (12, 0 ns)
75 (accesos, tiempo): (12, 999000 ns)
76 (accesos, tiempo): (14, 0 ns)
77 (accesos, tiempo): (13, 0 ns)
78 (accesos, tiempo): (15, 0 ns)
79 (accesos, tiempo): (14, 0 ns)
80 (accesos, tiempo): (13, 0 ns)
81 (accesos, tiempo): (15, 0 ns)
82 (accesos, tiempo): (14, 0 ns)
83 (accesos, tiempo): (10, 1e+006 ns)
84 (accesos, tiempo): (13, 0 ns)
85 (accesos, tiempo): (12, 0 ns)
86 (accesos, tiempo): (15, 0 ns)
87 (accesos, tiempo): (11, 1.004e+006 ns)
88 (accesos, tiempo): (10, 0 ns)
89 (accesos, tiempo): (13, 0 ns)
90 (accesos, tiempo): (13, 0 ns)
91 (accesos, tiempo): (10, 0 ns)
92 (accesos, tiempo): (12, 0 ns)
93 (accesos, tiempo): (6, 0 ns)
94 (accesos, tiempo): (9, 0 ns)
95 (accesos, tiempo): (14, 998000 ns)
96 (accesos, tiempo): (10, 0 ns)
97 (accesos, tiempo): (11, 0 ns)
98 (accesos, tiempo): (12, 0 ns)
99 (accesos, tiempo): (9, 0 ns)
100 (accesos, tiempo): (9, 0 ns)
La media de accesos es 12.65
la desviacion estandar es 2.07063
y la varianza es4.2875
probando con i=19
Construcción M-Tree (CCP): 11842980000 ns
1 (accesos, tiempo): (17, 0 ns)
2 (accesos, tiempo): (15, 0 ns)
3 (accesos, tiempo): (15, 0 ns)
4 (accesos, tiempo): (13, 0 ns)
5 (accesos, tiempo): (16, 1e+006 ns)
6 (accesos, tiempo): (14, 0 ns)
7 (accesos, tiempo): (15, 0 ns)
8 (accesos, tiempo): (18, 0 ns)
9 (accesos, tiempo): (13, 0 ns)
10 (accesos, tiempo): (17, 0 ns)
11 (accesos, tiempo): (13, 1.003e+006 ns)
12 (accesos, tiempo): (17, 0 ns)
13 (accesos, tiempo): (18, 0 ns)
14 (accesos, tiempo): (16, 0 ns)
15 (accesos, tiempo): (14, 0 ns)
16 (accesos, tiempo): (19, 999000 ns)
17 (accesos, tiempo): (12, 0 ns)
18 (accesos, tiempo): (20, 0 ns)
19 (accesos, tiempo): (17, 1e+006 ns)
20 (accesos, tiempo): (14, 0 ns)
21 (accesos, tiempo): (15, 0 ns)
22 (accesos, tiempo): (16, 0 ns)
23 (accesos, tiempo): (15, 0 ns)
24 (accesos, tiempo): (18, 0 ns)
25 (accesos, tiempo): (19, 997000 ns)
26 (accesos, tiempo): (15, 0 ns)
27 (accesos, tiempo): (16, 0 ns)
28 (accesos, tiempo): (23, 0 ns)
29 (accesos, tiempo): (20, 0 ns)
30 (accesos, tiempo): (16, 0 ns)
31 (accesos, tiempo): (17, 0 ns)
32 (accesos, tiempo): (14, 999000 ns)
33 (accesos, tiempo): (17, 0 ns)
34 (accesos, tiempo): (18, 0 ns)
35 (accesos, tiempo): (16, 0 ns)
36 (accesos, tiempo): (15, 0 ns)
37 (accesos, tiempo): (17, 0 ns)
38 (accesos, tiempo): (18, 0 ns)
39 (accesos, tiempo): (13, 1.003e+006 ns)
40 (accesos, tiempo): (15, 0 ns)
41 (accesos, tiempo): (19, 0 ns)
42 (accesos, tiempo): (14, 0 ns)
43 (accesos, tiempo): (17, 0 ns)
44 (accesos, tiempo): (17, 0 ns)
45 (accesos, tiempo): (18, 0 ns)
46 (accesos, tiempo): (19, 1.001e+006 ns)
47 (accesos, tiempo): (16, 0 ns)
48 (accesos, tiempo): (17, 0 ns)
49 (accesos, tiempo): (20, 0 ns)
50 (accesos, tiempo): (18, 0 ns)
51 (accesos, tiempo): (17, 0 ns)
52 (accesos, tiempo): (13, 0 ns)
53 (accesos, tiempo): (17, 998000 ns)
54 (accesos, tiempo): (15, 0 ns)
55 (accesos, tiempo): (14, 0 ns)
56 (accesos, tiempo): (15, 0 ns)
57 (accesos, tiempo): (20, 0 ns)
58 (accesos, tiempo): (19, 0 ns)
59 (accesos, tiempo): (16, 0 ns)
60 (accesos, tiempo): (17, 998000 ns)
61 (accesos, tiempo): (14, 0 ns)
62 (accesos, tiempo): (16, 0 ns)
63 (accesos, tiempo): (18, 0 ns)
64 (accesos, tiempo): (15, 0 ns)
65 (accesos, tiempo): (17, 0 ns)
66 (accesos, tiempo): (17, 1.01e+006 ns)
67 (accesos, tiempo): (15, 0 ns)
68 (accesos, tiempo): (16, 0 ns)
69 (accesos, tiempo): (14, 0 ns)
70 (accesos, tiempo): (16, 0 ns)
71 (accesos, tiempo): (14, 1.008e+006 ns)
72 (accesos, tiempo): (16, 0 ns)
73 (accesos, tiempo): (17, 0 ns)
74 (accesos, tiempo): (18, 0 ns)
75 (accesos, tiempo): (20, 0 ns)
76 (accesos, tiempo): (18, 0 ns)
77 (accesos, tiempo): (20, 984000 ns)
78 (accesos, tiempo): (22, 0 ns)
79 (accesos, tiempo): (16, 0 ns)
80 (accesos, tiempo): (15, 0 ns)
81 (accesos, tiempo): (20, 0 ns)
82 (accesos, tiempo): (15, 0 ns)
83 (accesos, tiempo): (19, 1.001e+006 ns)
84 (accesos, tiempo): (20, 0 ns)
85 (accesos, tiempo): (18, 0 ns)
86 (accesos, tiempo): (16, 0 ns)
87 (accesos, tiempo): (16, 0 ns)
88 (accesos, tiempo): (19, 0 ns)
89 (accesos, tiempo): (19, 0 ns)
90 (accesos, tiempo): (19, 0 ns)
91 (accesos, tiempo): (19, 997000 ns)
92 (accesos, tiempo): (16, 0 ns)
93 (accesos, tiempo): (9, 0 ns)
94 (accesos, tiempo): (21, 0 ns)
95 (accesos, tiempo): (18, 0 ns)
96 (accesos, tiempo): (14, 0 ns)
97 (accesos, tiempo): (13, 0 ns)
98 (accesos, tiempo): (16, 0 ns)
99 (accesos, tiempo): (11, 0 ns)
100 (accesos, tiempo): (13, 1.001e+006 ns)
La media de accesos es 16.49
la desviacion estandar es 2.39789
y la varianza es5.7499
